,settlement_date,settlement_period,period_hour,nd,tsd,england_wales_demand,embedded_wind_generation,embedded_wind_capacity,embedded_solar_generation,embedded_solar_capacity,non_bm_stor,pump_storage_pumping,ifa_flow,ifa2_flow,britned_flow,moyle_flow,east_west_flow,nemo_flow,is_holiday,item_id
0,2021-01-01 00:00:00,1,0:00:00,28354,28969,26130.0,1018,6527,0,13080,0,14,2003,-1,0,215,203,999,1,UK
1,2021-01-01 00:30:00,2,0:30:00,28501,29114,26281.0,1026,6527,0,13080,0,12,2004,-1,0,359,203,999,1,UK
2,2021-01-01 01:00:00,3,1:00:00,27759,28376,25557.0,1039,6527,0,13080,0,16,2004,-1,0,362,202,999,1,UK
3,2021-01-01 01:30:00,4,1:30:00,26912,27749,24792.0,1052,6527,0,13080,0,236,2004,-1,0,361,203,1000,1,UK
4,2021-01-01 02:00:00,5,2:00:00,26004,27178,23933.0,1076,6527,0,13080,0,573,2004,-1,0,304,203,1000,1,UK
5,2021-01-01 02:30:00,6,2:30:00,25361,26798,23284.0,1099,6527,0,13080,0,836,2003,-1,0,319,202,999,1,UK
6,2021-01-01 03:00:00,7,3:00:00,24739,26442,22666.0,1119,6527,0,13080,0,1102,1812,-1,0,235,202,906,1,UK
7,2021-01-01 03:30:00,8,3:30:00,24189,25901,22162.0,1139,6527,0,13080,0,1111,1805,-1,0,220,203,903,1,UK
8,2021-01-01 04:00:00,9,4:00:00,23770,25539,21797.0,1163,6527,0,13080,0,1168,1806,-1,0,185,203,903,1,UK
9,2021-01-01 04:30:00,10,4:30:00,23433,25196,21512.0,1186,6527,0,13080,0,1162,1806,-1,0,152,202,903,1,UK
10,2021-01-01 05:00:00,11,5:00:00,23418,25161,21527.0,1197,6527,0,13080,0,1142,1805,-1,0,169,203,903,1,UK
11,2021-01-01 05:30:00,12,5:30:00,23371,25048,21483.0,1208,6527,0,13080,0,1076,1806,-1,0,192,203,903,1,UK
12,2021-01-01 06:00:00,13,6:00:00,24055,25601,22125.0,1202,6527,0,13080,0,945,1901,-1,0,172,203,950,1,UK
13,2021-01-01 06:30:00,14,6:30:00,24462,25964,22485.0,1195,6527,0,13080,0,901,1905,-1,0,167,202,952,1,UK
14,2021-01-01 07:00:00,15,7:00:00,25048,25728,23054.0,1200,6527,0,13080,0,79,1905,-1,0,37,203,952,1,UK
15,2021-01-01 07:30:00,16,7:30:00,25259,25876,23237.0,1205,6527,0,13080,0,16,1904,-1,0,50,202,952,1,UK
16,2021-01-01 08:00:00,17,8:00:00,25852,26469,23791.0,1209,6527,2,13080,0,16,2002,-1,0,152,203,814,1,UK
17,2021-01-01 08:30:00,18,8:30:00,26729,27345,24643.0,1212,6527,43,13080,0,15,2004,-1,0,158,147,809,1,UK
18,2021-01-01 09:00:00,19,9:00:00,28128,28739,25916.0,1207,6527,198,13080,0,10,2004,-1,0,301,118,993,1,UK
19,2021-01-01 09:30:00,20,9:30:00,29488,30098,27137.0,1202,6527,344,13080,0,9,2004,-1,0,364,28,1000,1,UK
20,2021-01-01 10:00:00,21,10:00:00,30730,31340,28257.0,1193,6527,514,13080,0,9,2004,-1,0,401,81,999,1,UK
21,2021-01-01 10:30:00,22,10:30:00,31720,32331,29088.0,1183,6527,714,13080,0,10,2004,-1,0,401,61,999,1,UK
22,2021-01-01 11:00:00,23,11:00:00,32729,33339,29983.0,1201,6527,932,13080,0,9,2004,-1,0,401,133,971,1,UK
23,2021-01-01 11:30:00,24,11:30:00,33388,33998,30545.0,1219,6527,1060,13080,0,9,2004,-1,0,401,194,969,1,UK
24,2021-01-01 12:00:00,25,12:00:00,34221,34831,31311.0,1229,6527,1080,13080,0,9,2004,-1,0,401,217,998,1,UK
